City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Mehriz,IR,2021-07-24 15:42:42,31.5917,54.4318,100.9,10,0,12.39
213,Marawi,PH,2021-07-24 15:40:30,7.9986,124.2928,70.25,88,85,5.88
214,Ipoti,NG,2021-07-24 15:42:43,7.8738,5.0769,75.13,78,100,6.24
215,Petrivka,UA,2021-07-24 15:42:43,46.9695,30.9591,79.25,36,0,3.67
216,Lagoa,PT,2021-07-24 15:40:03,39.05,-27.9833,71.08,95,11,14.99
217,Chhabra,IN,2021-07-24 15:42:44,24.6667,76.8333,81.19,85,100,5.73
218,Alice Springs,AU,2021-07-24 15:42:31,-23.7,133.8833,44.15,45,67,5.75
219,Santa Helena De Goias,BR,2021-07-24 15:41:16,-17.8136,-50.5969,82.94,27,0,7.87
220,Norsup,VU,2021-07-24 15:42:44,-16.0667,167.3833,79.25,82,100,6.73
221,Pevek,RU,2021-07-24 15:40:09,69.7008,170.3133,37.13,93,92,4.52
222,Waru,ID,2021-07-24 15:42:45,-7.0468,112.4048,76.96,81,0,2.8
223,Salalah,OM,2021-07-24 15:41:16,17.0151,54.0924,78.89,94,90,8.05
224,Dongkan,CN,2021-07-24 15:42:45,33.9997,119.8308,75.92,97,99,8.1
225,Whyalla,AU,2021-07-24 15:42:46,-33.0333,137.5833,46.29,87,40,6.91
226,Beringovskiy,RU,2021-07-24 15:40:52,63.05,179.3167,50.23,91,100,8.1
227,Altay,CN,2021-07-24 15:42:46,47.8667,88.1167,69.51,45,0,8.05
228,Pisco,PE,2021-07-24 15:42:47,-13.7,-76.2167,65.01,72,90,3.44
229,Horodnytsya,UA,2021-07-24 15:42:47,50.807,27.3168,68.68,62,93,1.1
230,Dryden,CA,2021-07-24 15:42:48,49.7833,-92.7503,73.69,49,1,11.5
231,Peace River,CA,2021-07-24 15:42:48,56.2501,-117.286,62.91,74,20,5.01
232,Haines Junction,CA,2021-07-24 15:42:48,60.7522,-137.5108,51.75,76,100,3.44
233,Kralendijk,BQ,2021-07-24 15:42:49,12.15,-68.2667,85.98,70,40,14.97
234,Fortuna,US,2021-07-24 15:40:43,40.5982,-124.1573,53.94,93,1,0.0
235,Dubbo,AU,2021-07-24 15:42:49,-32.25,148.6167,50.13,76,75,18.41
236,Gat,IL,2021-07-24 15:39:01,31.61,34.7642,84.88,31,1,9.73
237,Egvekinot,RU,2021-07-24 15:42:50,66.3167,-179.1667,44.22,98,100,2.21
238,Chokurdakh,RU,2021-07-24 15:39:39,70.6333,147.9167,33.91,95,18,11.63
239,Birao,CF,2021-07-24 15:42:50,10.2849,22.7882,84.58,54,77,4.54
240,Kloulklubed,PW,2021-07-24 15:42:51,7.0419,134.2556,82.9,79,100,12.88
241,Taihe,CN,2021-07-24 15:42:51,30.8712,105.3845,77.23,80,0,2.53
242,Eloszallas,HU,2021-07-24 15:42:51,46.8309,18.8348,85.69,25,0,12.01
243,Grand-Santi,GF,2021-07-24 15:42:52,4.25,-54.3833,89.85,49,47,5.46
244,Shahr-E Babak,IR,2021-07-24 15:42:52,30.1165,55.1186,83.17,23,3,15.84
245,Storforshei,NO,2021-07-24 15:42:52,66.4043,14.5233,53.65,93,75,3.44
246,Nyuksenitsa,RU,2021-07-24 15:42:53,60.4128,44.2397,57.0,55,99,1.99
247,Biak,ID,2021-07-24 15:42:53,-0.9131,122.8766,75.0,74,100,6.93
248,Tuatapere,NZ,2021-07-24 15:42:54,-46.1333,167.6833,39.81,84,100,7.72
249,Lavrentiya,RU,2021-07-24 15:40:50,65.5833,-171.0,47.41,89,100,9.55
